path,file_name,category,role,allocation,salvage_value,in_scope,scan_status,run_status,root_cause
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/05 随机森林策略，低换手率，年化近50%.txt,05 随机森林策略，低换手率，年化近50%.txt,C_多因子_机器学习_AI,M_主策略_可独立alpha,02_卫星位_主动alpha,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/06 87.5%胜率之分歧反包二板.txt,06 87.5%胜率之分歧反包二板.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/06 PEG+成长+小市值+RSRS择时.txt,06 PEG+成长+小市值+RSRS择时.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/06 国九小市值策略【年化100.5% 回撤25.6%】.txt,06 国九小市值策略【年化100.5% 回撤25.6%】.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/06 高股息低杠杆稳定小市值轮动策略.txt,06 高股息低杠杆稳定小市值轮动策略.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/07 为了挣点积分自己实盘的策略分享出来.txt,07 为了挣点积分自己实盘的策略分享出来.txt,W2_主观作业分享实盘,F_框架工具_实盘基础设施,,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/07 股债波动平衡.txt,07 股债波动平衡.txt,I_多资产_股债_全天候,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/07 致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,07 致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/07 连板龙头策略.txt,07 连板龙头策略.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/07 追首板涨停 过去两年年化304%.txt,07 追首板涨停 过去两年年化304%.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/08 14个月200%，超短线实盘交易策略！无未来函数.txt,08 14个月200%，超短线实盘交易策略！无未来函数.txt,W_短线超短分钟级,M_主策略_可独立alpha,03_进攻位_短线题材,C_慎用_依赖手工,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/08 ETF动量轮动RSRS择时-魔改3小优化.txt,08 ETF动量轮动RSRS择时-魔改3小优化.txt,B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/08 因子分析 营业利润TTM.txt,08 因子分析 营业利润TTM.txt,C_多因子_机器学习_AI,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/08 国九条后中小板微盘小改，年化135.40%.txt,08 国九条后中小板微盘小改，年化135.40%.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/08 科技与狠活 纯粹的数据挖掘策略.txt,08 科技与狠活 纯粹的数据挖掘策略.txt,C_多因子_机器学习_AI,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/09 大容量小市值持仓95只，媲美金元顺安元启.txt,09 大容量小市值持仓95只，媲美金元顺安元启.txt,A_小市值_微盘_国九条,M_主策略_可独立alpha,02_卫星位_主动alpha,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/09 干积分-量化策略简易框架.txt,09 干积分-量化策略简易框架.txt,W2_主观作业分享实盘,F_框架工具_实盘基础设施,,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/09 持续跑赢大盘-真蓝筹v2(资金容量千万以上).txt,09 持续跑赢大盘-真蓝筹v2(资金容量千万以上).txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/10 10倍-二板排板战法优化.txt,10 10倍-二板排板战法优化.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
